wavelengths,fluxes,convolved_flux,filter_wavelengths,filter_trans
  1.472000E+02,  1.800864E-41,  0.000000E+00,  4.100000E+04,  0.000000E+00
  1.510000E+02,  1.751171E-41,  0.000000E+00,  4.200000E+04,  4.000000E-02
  1.552000E+02,  0.000000E+00,  0.000000E+00,  4.300000E+04,  2.500000E-01
  1.588000E+02,  0.000000E+00,  0.000000E+00,  4.400000E+04,  4.800000E-01
  1.620000E+02,  0.000000E+00,  0.000000E+00,  4.500000E+04,  1.000000E+00
  1.660000E+02,  0.000000E+00,  0.000000E+00,  4.600000E+04,  9.300000E-01
  1.703000E+02,  0.000000E+00,  0.000000E+00,  4.700000E+04,  9.200000E-01
  1.734000E+02,  0.000000E+00,  0.000000E+00,  4.800000E+04,  8.900000E-01
  1.768000E+02,  0.000000E+00,  0.000000E+00,  4.900000E+04,  8.400000E-01
  1.802000E+02,  0.000000E+00,  0.000000E+00,  5.000000E+04,  7.800000E-01
  1.817000E+02,  0.000000E+00,  0.000000E+00,  5.100000E+04,  7.600000E-01
  1.861000E+02,  0.000000E+00,  0.000000E+00,  5.200000E+04,  7.900000E-01
  1.910000E+02,  0.000000E+00,  0.000000E+00,  5.300000E+04,  7.400000E-01
  1.939000E+02,  0.000000E+00,  0.000000E+00,  5.400000E+04,  6.800000E-01
  1.984000E+02,  0.000000E+00,  0.000000E+00,  5.500000E+04,  6.000000E-01
  2.018000E+02,  0.000000E+00,  0.000000E+00,  5.600000E+04,  4.900000E-01
  2.050000E+02,  0.000000E+00,  0.000000E+00,  5.700000E+04,  3.200000E-01
  2.105000E+02,  0.000000E+00,  0.000000E+00,  5.800000E+04,  2.600000E-01
  2.162000E+02,  0.000000E+00,  0.000000E+00,  5.900000E+04,  2.100000E-01
  2.198000E+02,  0.000000E+00,  0.000000E+00,  6.000000E+04,  1.900000E-01
  2.230000E+02,  0.000000E+00,  0.000000E+00,  6.100000E+04,  9.000000E-02
  2.268000E+02,  0.000000E+00,  0.000000E+00,  6.200000E+04,  2.000000E-02
  2.300000E+02,  0.000000E+00,  0.000000E+00,  6.300000E+04,  0.000000E+00
  2.340000E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00
  2.400000E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00
  2.465000E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00
  2.524000E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00
  2.568000E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00
  2.600000E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00
  2.640000E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00
  2.685000E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00
  2.735000E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00
  2.785000E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00
  2.840000E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00
  2.900000E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00
  2.960000E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00
  3.010000E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00
  3.080000E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00
  3.180000E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00
  3.280000E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00
  3.380000E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00
  3.480000E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00
